"country","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2013","2015"
"Afghanistan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,3,2,1,1,1,1,0,1,0,0,1,2,0,1,0,1,1,1,1,0,2,1,0,1,4,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,1,1,3,2,1,0,0,1,1,0,1,0,0,2,1,0,0,2,0,0,0,0,1,0,3,0,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,2,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,3,1,0,1,0,1,0,0,0,2,0,3,2,2,2,1,1,3,1,1,2,2,1,0,2,4,3,1,4,3,0,1,1,3,2,2,1,5,2,4,4,4,2,3,3,2,1,6,3,4,3,3,2,5,1,10,8,7,4,3,8,3,2,5,4,5,4,4,0,3,3,2,0,1,1,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,1,0,2,0,1,1,0,3,2,0,0,2,1,1,2,0,0,1,2,0,1,2,2,5,1,1,5,1,4,2,4,5,0,1,2,5,7,2,1,4,2,2,2,2,7,1,5,2,2,2,3,3,2,4,8,4,5,5,4,4,9,9,4,4,4,7,2,5,4,6,6,5,12,1,7,5,9,6,4,6,8,5,5,5,11,7,7,7,7,14,5,8,11,15,10,9,12,11,15,11,13,13,11,17,17,14,10,12,12,15,7,9,8,18,20,16,19,14,22,16,11,11,14,19,14,20,11,15,12,14,15,17,10,17,10,19,8,12,14,9,10,10,9,7,9,5,6,4,7,2,4,2,6,3,0,1,2,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,2,2,2,1,1,1,0,0,0,0,2,1,0,1,0,2,0,1,0,1,1,3,4,3,2,2,1,0,0,5,2,0,2,0,0,1,0,1,3,2,4,1,4,5,1,2,1,0,2,1,4,1,1,0,2,3,2,2,2,3,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,1,1,0,2,2,2,0,2,1,0,0,1,0,5,1,3,3,1,6,9,2,6,6,5,4,3,6,6,7,5,6,4,3,3,8,8,6,4,5,4,5,7,5,7,9,4,13,9,12,7,8,11,9,6,8,10,12,6,11,7,5,12,9,16,9,8,15,4,6,9,13,11,10,13,9,13,8,9,12,16,17,10,10,10,15,14,7,20,12,9,16,10,12,26,9,16,17,10,17,15,10,15,23,20,27,22,25,20,19,21,22,17,11,25,24,19,18,18,8,14,12,12,18,13,16,17,10,9,7,6,7,9,5,5,5,3,3,8,5,7,2,5,4,4,2,1,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",7,3,6,6,5,2,4,10,7,3,8,4,5,3,4,5,8,5,6,11,3,6,5,5,5,7,8,4,8,3,5,9,10,6,8,9,6,11,8,11,7,9,12,8,12,12,9,13,18,9,16,15,21,17,11,18,9,19,16,17,15,21,18,15,22,28,23,15,19,15,15,29,18,27,29,31,30,31,33,24,31,21,46,30,29,33,32,26,22,26,21,36,23,33,30,34,32,28,42,41,39,42,49,43,38,37,32,43,36,37,40,36,34,43,31,25,22,27,18,34,44,45,50,49,59,41,49,47,56,42,32,36,25,34,31,30,32,35,34,67,82,94,97,68,89,48,63,66,73,55,64,45,42,56,50,47,50,52,51,39,48,49,50,42,36,43,31,31,28,28,22,29,22,18,23,10,16,8,8,7,16,4,2,2,3,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,3,3,4,1,2,3,3,4,1,2,1,1,1,1,1,1,4,3,3,4,2,1,3,1,5,1,2,9,2,2,2,2,4,2,3,2,4,3,2,1,3,3,5,2,1,3,3,4,4,3,1,3,4,8,3,2,2,2,3,1,2,2,0,3,2,1,1,0,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,3,0,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,4,4,0,0,0,2,1,2,1,3,1,3,1,2,1,0,3,1,0,1,0,0,0,2,2,1,0,1,1,1,2,2,3,2,3,2,5,1,1,3,2,5,5,3,4,7,2,3,6,3,4,1,4,4,2,5,5,0,2,2,2,4,0,2,2,4,5,5,2,2,1,2,1,1,0,2,1,2,2,3,0,0,4,3,2,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",5,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,3,1,2,0,0,0,0,1,0,1,0,3,0,2,2,0,0,1,2,2,2,1,0,1,1,0,1,0,2,2,1,1,2,0,2,2,0,1,3,1,1,6,3,0,3,1,2,0,2,4,0,1,3,3,7,1,3,5,2,2,4,7,3,3,1,4,3,3,1,4,3,3,5,3,4,9,4,4,5,5,5,3,4,4,4,10,0,3,2,2,2,2,1,1,2,4,4,3,6,3,2,3,5,4,4,2,1,2,4,2,3,2,0,2,5,1,2,0,0,2,2,2,3,1,2,0,0,0,0,1,1,2,1,1,2,4,1,0,0,0,1,0,1,1,0,1,1,0,0,1,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",3,5,4,2,6,1,3,5,7,5,6,1,4,9,5,1,2,7,2,4,7,3,7,6,4,9,6,7,2,5,6,3,7,3,4,4,7,2,7,6,2,6,5,2,5,3,5,7,5,4,6,4,10,4,5,7,7,9,5,4,10,5,12,5,10,8,10,13,12,11,11,5,5,3,7,11,14,9,10,12,11,17,9,10,13,6,7,7,10,6,9,8,6,6,5,5,9,5,8,10,10,11,15,9,16,6,10,8,11,14,14,11,14,16,15,7,10,3,6,13,22,16,15,17,14,17,14,13,17,13,18,12,21,17,14,17,10,10,21,6,11,12,12,16,30,12,22,17,20,21,13,12,22,20,14,16,20,12,13,26,12,22,20,18,13,17,11,14,12,6,9,7,8,4,4,8,6,4,2,1,2,6,3,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,1,1,2,0,0,0,0,1,1,0,5,1,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia and Herz.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,1,0,1,1,1,0,3,0,0,1,0,1,2,2,2,1,1,1,2,1,0,1,1,1,3,1,0,0,0,0,4,1,1,1,0,3,3,4,2,1,3,2,0,2,0,1,1,2,3,1,2,1,1,1,3,0,1,2,1,2,1,0,0,2,2,2,2,0,2,0,1,0,2,2,0,3,2,1,2,1,0,0,1,1,0,0,0,1,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",1,0,0,1,0,0,1,0,2,1,2,0,4,1,2,1,2,1,1,1,1,1,1,1,3,4,1,2,0,1,4,1,1,1,4,0,3,5,4,3,1,0,4,4,1,1,4,3,4,0,0,5,3,5,4,5,4,4,3,3,2,2,6,3,4,3,4,2,6,4,1,3,5,5,7,3,5,4,2,3,3,3,8,7,6,6,9,3,1,13,9,2,10,3,10,11,4,5,9,4,6,6,5,5,10,7,12,12,9,12,13,8,16,16,21,9,21,24,18,9,15,17,16,13,22,14,19,15,23,16,22,18,15,17,17,20,19,18,25,19,16,21,26,30,24,19,33,23,22,32,32,22,18,13,23,22,18,26,15,20,12,12,20,22,13,7,13,14,3,6,11,8,10,6,9,8,8,4,6,9,3,0,3,5,7,1,1,2,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,1,1,1,2,0,2,0,1,0,1,0,3,0,1,3,3,2,1,3,1,1,1,3,4,1,2,0,1,1,3,1,2,2,5,3,5,1,1,1,3,2,3,2,3,3,5,2,5,4,2,3,1,3,3,1,0,1,3,1,2,2,2,2,7,1,4,3,6,2,1,3,1,0,4,1,3,5,6,3,4,3,3,0,4,3,5,3,2,4,3,4,3,4,1,1,2,4,4,3,1,4,2,2,2,5,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
